CASE_ID|CASE_TK_RAND|CASE_CREATED_TK_RAND|CASE_MODIFIED_TK_RAND|CASE_CLOSED_TK_RAND|ACCOUNT_TK_RAND|ASSIGNED_USER_RAND
2A4E41E8-8544-414A-0ADB-5D84EE8B0987|401|148|107|154|62|14
CFD9854C-BA39-8B5D-7B03-07D1C049EB17|402|174|95|186|47|10
4EBFB6B4-4442-75E9-B906-7AB730A7D3F2|403|2|42|121|13|15
6702ABBC-FFF9-4B18-CC16-E253F24AD3BE|404|110|69|37|39|20
27929F2C-4833-E92F-F8D7-6A87E3FB7D30|405|59|171|141|88|20
DE8A3F58-9CCE-51AD-EBA6-8134CEF694CC|406|109|99|156|50|3
8F4FD21D-61B8-9008-7BB8-324DAB34775E|407|25|76|129|70|3
0B3D5A04-AE6B-C23C-F468-CAC877FD465D|408|21|23|23|39|18
294FE5EA-9405-4724-2229-9123EB2D1B8C|409|97|106|86|93|3
359FF3F0-903D-8408-649C-CEDBDE905835|410|91|107|60|11|20
35EE01A0-539D-48A2-4704-B96A9BC57968|411|171|160|2|78|1
EE68A74D-EB72-29E8-6FAD-B38FF007B3E6|412|179|29|56|62|12
43F9E94D-7391-A5D7-D275-8B561974940B|413|116|134|144|45|10
D382AD27-0468-804B-0874-6DA20DE20ED5|414|31|49|78|43|11
81369DF0-31A5-04EC-7C01-332CEFBB3AA9|415|110|148|12|78|6
2D08AC8C-1471-4910-BD7C-E8DBB5884121|416|55|145|120|17|18
11C184E7-5944-C229-75FE-BE9C0CD1E5C2|417|103|61|26|82|7
4918553E-60F6-66CD-C920-3997BBD85345|418|137|199|14|33|17
8BB77DBE-3A2F-8E03-8FD8-F5F599239454|419|14|192|56|22|4
BA02F985-18E6-1C00-BFE6-155ED7DC8B66|420|19|193|33|60|10
527C4424-1691-B6C9-6399-107E85B10BD0|421|189|115|131|45|8
5D214990-941D-A469-E770-3F3C9DEC10A7|422|18|22|45|36|10
AF2D28D5-5403-D42C-7221-3D71BA790646|423|184|36|186|39|10
E8A9C326-A28E-8249-D704-753EA8EEB7EF|424|121|60|127|25|13
7B4CBB25-8797-8D89-C755-951FFD6D5FB0|425|20|71|55|32|11
1D93627A-D563-812E-506F-49636472ADFF|426|1|124|150|35|11
C3075E9F-10B9-A340-DFD1-C17416F9CD05|427|161|91|148|40|16
DD9F0914-E79E-43BF-2FCE-7CB04DFE209E|428|102|81|59|90|13
5C8BBC42-4754-30AF-1358-3D7E8A935D4F|429|35|23|174|37|12
8DB5E1A4-7BB7-3BA3-AB42-1A1AA5025731|430|63|128|90|96|20
C8B0DDED-9382-BDDF-7C7E-429666E10C6B|431|5|22|60|19|10
CC3F74D5-B494-922D-3945-AC42AE7F06B8|432|33|127|189|90|3
49E747C9-6DA5-8B9B-DFCE-D5E23D68EDBB|433|118|146|96|44|18
B41172B8-EC1E-986B-994B-7F6D56F24E2D|434|3|38|21|100|3
426D7A5E-11E3-2764-DA80-6F898577A077|435|168|54|141|67|13
474B1563-0B91-FF85-31B5-FC45F2792C6F|436|40|27|176|27|5
5BE13C9F-5130-A94D-B170-4DAB31A9FE69|437|67|134|156|23|17
37FBFA11-5501-7505-9B72-526194A3724D|438|162|137|106|47|8
B5D8D15E-8FA5-0CDA-5A23-D52FC901B93D|439|37|150|140|95|1
7AC4E229-DF3A-BE7F-62DD-E50450D4C2FC|440|160|193|129|50|18
16CC2D29-EE7E-69C0-C257-8A6498D9BD19|441|50|181|58|42|16
97FE622A-61DF-D571-3CC1-0042D546AC01|442|106|21|151|77|3
51553B6F-87C0-3693-9341-FADDD7C80A4E|443|55|114|113|4|12
2C4265A9-AFF4-83FA-D79E-77360D77790C|444|164|155|81|79|5
D8998A62-7026-63D1-FAF7-6FC3769B9308|445|57|46|17|15|13
F9678C86-0556-DB8E-E890-2BC61DCE5CC6|446|48|148|117|78|12
669675CF-F133-6DE8-E75A-583C0B4EFDD8|447|137|111|56|69|5
